Country;2015;2016;2017;2018;2019;2020
Falkland Islands;0.248860622;0.262601241;0.052824041;0.058705601;0.058115484;0.054173816
Faroes;0.048671671;0.047798873;0.047915976;0.047961452;0.048036021;0.047953871
Fiji;2.49401011;2.444051887;2.597189893;2.679721568;2.822289453;2.880088005
Finland;78.38782273;77.21122619;74.68422704;76.75269747;71.24112858;64.81182869
France and Monaco;466.0621963;468.1009422;470.6711127;456.6195238;448.5402683;398.3699582
French Guiana;0.979668698;1.068618277;1.058992757;1.066843635;1.071965033;1.02788282
French Polynesia;1.106120038;1.07806613;1.042722422;1.064712162;1.08997204;1.096018024
Gabon;20.85031299;21.10284276;19.1343518;17.89078555;19.61642975;19.69580438
Georgia;16.5182665;17.02328259;17.07996765;16.77563508;17.75804122;17.18893812
Germany;914.1423979;916.9232128;901.0010652;873.2749915;817.7323352;742.5731771
Ghana;35.57668932;36.32362968;39.89974765;42.69284298;46.5064894;56.26977829
Gibraltar;0.612314516;0.637874358;0.676189237;0.716882007;0.74394232;0.677506428
Greece;93.62231539;92.29106706;92.61701854;90.04921662;84.19652899;73.24426048
Greenland;0.596263024;0.591691837;0.58057464;0.582222832;0.582235018;0.523604364
Grenada;0.621610785;0.6375933;0.4336286;0.452842949;0.448365064;0.381963342
Guadeloupe;2.399615545;2.277392973;2.281185712;2.294535008;2.311422569;1.982817667
Guatemala;37.67425996;39.14661689;38.85851166;41.20080333;42.71977939;40.67042713
Guinea;22.64029556;23.59605195;24.80340468;25.78558514;26.88033475;27.72179502
Guinea-Bissau;2.829404573;2.945902437;2.884825227;2.955970874;3.028519929;3.075222429
Guyana;5.711840826;5.757112935;5.944390822;6.022107068;6.359840543;6.25929284
Haiti;14.17413243;14.48210524;14.53622376;14.58050417;14.72070408;14.27452277
Honduras;21.88118589;21.66428622;21.51918359;22.53857907;22.78840858;21.4327992
Hong Kong;50.13132645;51.03421519;50.16861622;50.1519938;49.66829806;38.96425425
Hungary;63.95076707;64.66305125;67.46035339;67.61144791;69.92648422;68.13541334
Iceland;4.875907386;4.378421303;4.514979016;4.450352935;4.740899939;4.089505757
India;3361.44049;3411.145718;3559.456841;3703.233845;3718.547009;3559.931476
Indonesia;937.9454155;932.8033989;996.1639808;1086.11463;1143.679174;1173.19454
Iran;851.6593438;896.6359052;928.7494617;941.9947634;910.0533176;928.3812393
Iraq;264.5929232;304.0061887;319.3313961;332.5080701;350.7475424;330.9077751
Ireland;66.32855803;69.20439991;68.59478672;66.50110336;64.59192276;60.54205808
Israel and Palestine, State of;85.56934981;86.11817042;86.19691525;82.84599328;84.49989137;80.06018715
Italy, San Marino and the Holy See;432.7891158;428.9602469;425.5792473;421.2700073;413.4493558;372.5310812
Jamaica;8.657561884;9.169475171;8.8236167;10.24277049;9.958735365;8.708229332
Japan;1341.67178;1328.794161;1316.694617;1275.950193;1239.140808;1151.149136
Jordan;33.82710185;33.98802661;35.58728517;34.52947844;34.92937234;33.62289619
Kazakhstan;274.3249917;290.0767903;310.0703344;314.9243581;309.5831318;299.357341
Kenya;91.02821677;98.33271825;94.81227473;96.70790946;110.3208972;110.2296262
Kiribati;0.089139548;0.093214098;0.10139051;0.102040502;0.105092082;0.106207988
Kuwait;138.6265415;143.4081028;141.7924644;143.8058616;145.6639536;141.644738
Kyrgyzstan;19.90400919;19.58734809;19.70610997;21.97060059;21.15612583;20.7770708
Laos;23.02083875;30.57666057;34.03959207;34.41062917;33.90454288;35.09546791
Latvia;12.42264112;12.35824191;12.22009912;12.7688038;12.60971203;11.46834868
Lebanon;33.06474562;34.31678271;36.01568389;34.4091575;34.92884418;32.40072438
Lesotho;2.767021808;2.783320056;3.013628227;2.969231517;2.943255763;2.900008866
Liberia;3.986245;4.258864805;4.21329146;4.469698675;4.617951678;4.692809121
Libya;75.51631469;75.19272394;86.61278359;92.04083133;94.78139844;71.89373443
Lithuania;23.58145248;23.36403325;23.61383785;23.26877273;23.67631444;23.39447404
Luxembourg;10.30556695;10.04524313;10.1815558;10.47711846;10.63636049;9.06407526
Macao;2.758006788;2.716387604;3.181617735;2.571563241;2.72181586;2.747679158
Madagascar;32.36878684;32.98136361;32.80509677;36.19786895;37.17420934;37.31200563
Malawi;11.02606743;11.59500332;12.25070633;13.6190362;14.33371335;14.81824603
Malaysia;324.3006994;320.7111436;310.9434992;329.4174484;338.7125698;329.555316
Maldives;1.686345377;1.774572448;1.811380157;2.042528334;2.33496735;2.350619021
Mali;34.38548841;37.3942718;39.69680022;41.73262068;43.33925989;44.52804733
Malta;2.158209886;1.861125566;2.038512994;2.063741896;2.165361766;2.06942987
Martinique;2.359201006;2.378411631;2.290357506;2.286235056;2.27208347;1.908375898
Mauritania;13.35625195;13.56059501;14.79742378;15.05516613;15.52116041;15.67110147
