Data export;;;;;;;;;;;;;;
Mongolia;1.6;2.2;1.2;1.5;1.16;2.87;0.94;0.38;0.64;0.45;0.59;0.69;0.74;0.02
Montenegro;0.7;0.4;0.9;0.6;0.72;0.94;0.75;0.72;0.67;0.62;0.19;0.17;0.05;0.13
Morocco;33.2;50.9;59.89;42.8;69.71;59.2;39.19;38.26;16.88;26.88;32.64;23.24;27.49;25.26
Mozambique;6.5;7.3;8.68;8.7;8.4;8.17;8.25;7.15;7.15;7.04;5.03;4.02;3.58;2.21
Myanmar;2.4;2;4.1;4.5;5.75;9.66;3.02;1.98;1.48;3.34;3.59;3.37;3.5;2.04
Namibia;11.8;5.8;6;10.7;9.95;4.76;7.02;3.64;5.36;3.76;2.68;1.71;0.77;0.74
Nauru;0;0;0;0;0.01;0.01;0;0;0.02;0.01;0;0;0;0
Nepal;1.1;1.3;1.1;1.1;1.1;0.74;0.66;0.83;0.11;0.84;0.64;0.83;0.64;0.41
New Zealand;23.2;17.8;17.5;11.5;11.5;9.47;10.3;8.65;1.1;0;0.01;0;0;0
Nicaragua;2.8;3.9;6;7.5;5.41;11.87;3.56;5.4;5.7;4.89;4.22;0.99;2.97;2.74
Niger;16.1;16;15.95;16;15.92;15.33;14.61;14.32;13.02;12.13;11.85;11.53;10.61;10.02
Nigeria;96;296.2;321.39;368.37;402.32;453.4;334.46;304.11;247.7;234.74;265.82;281.26;239.14;166.69
Niue;0;0;0;0;0;0;0;0;0;0;0;0;0;0
North Macedonia;1.2;2;2.29;1.3;0.9;0.74;0.72;0.57;0.18;0.27;0;0.26;0.64;0.37
Norway;17.5;14.6;15.8;0;-0.06;0;0;0;0;0;0;0;0;0
Oman;19.5;24.7;30.7;32.2;34.82;54.95;28.87;20.37;22.3;20.11;17.43;19.17;17.9;15.96
Pakistan;183.7;189.5;240.51;255.7;276.05;326.23;247.02;239.79;203.13;216;206.82;190.19;208.75;122.21
Palau;0;0;0.1;0.2;0.17;0.17;0.12;0.12;0.11;0.12;0.1;0.07;0.01;0.02
Panama;15.1;28.7;25;24.6;23.89;32.77;21.37;19.22;17.53;18.35;16.53;16.34;14.36;11.3
Papua New Guinea;5;3.1;3.2;3.3;1.69;3.06;3.02;2.87;2.32;2.15;2.09;1.87;1.28;1.07
Paraguay;14.7;11.7;15.1;20.9;16.82;29.33;16.46;17.83;15.99;12.95;12.74;13.02;14.59;10.91
Peru;20.6;28;27.3;26.45;32.5;26.98;25.81;22.01;22.82;22.21;22.32;19.84;16.44;12.32
Philippines;180.2;226.2;162.98;160.98;164.89;195.65;136.69;149.42;123.26;115.4;112.29;105.91;103.75;50.62
Qatar;23.5;38.7;79.7;94.1;96.61;93.57;80.7;84.95;65.89;65.4;68.54;68.82;69.52;56.43
Republic of Korea;1950.6;1953.6;1768.9;2047.1;2108.94;2088.17;1893.13;1798.08;1678.39;1528.42;1499.18;1407.74;1310.53;1229.05
Republic of Moldova;2.1;2.8;1.2;0.7;1.31;1.88;0.99;0.76;0.82;0;0;0.31;0.53;0.56
Russian Federation;1028.3;1133.6;940.4;733.8;842.69;666.93;548.46;510.42;381.13;312.09;279.01;290.98;286.69;0
Rwanda;3.3;3.6;3.8;4.4;5.48;3.66;3.78;3.28;3.61;2.76;2.46;2.1;1.89;1.71
Saint Kitts and Nevis;0.5;0.4;0.4;0.6;0.49;0.38;0.32;0.47;0.36;0.26;0.21;0.11;0.04;0.03
Saint Lucia;0;0.1;1.37;0.81;1.07;0.75;0.57;0.83;0.47;0.65;0.64;0.62;0.31;0.03
Saint Vincent and the Grenadines;0;0.1;0.4;0.2;0.3;0.28;0.18;0.09;0.04;0.03;0.03;0.02;0.02;0.01
Samoa;0.2;0.1;0.2;0.3;0.29;0.13;0.11;0.08;0.07;0.06;0.07;0.01;0.01;0.04
San Marino;;;0;0;0;0;0;0;0;0;0;0;0;0
Sao Tome and Principe;0.1;0.1;4.1;0.2;0.14;0.13;0.1;0.09;0.09;0.08;0.08;0.07;0.07;0.06
Saudi Arabia;896.8;1175.3;1362;1575.4;1750.76;1921.69;1433.73;1376.63;1305.45;1078.08;1060.21;953.15;953.15;880.5
Senegal;31.6;32.9;34.8;37.5;36.14;36.14;7.7;20.74;20.63;18.7;17.6;15.13;14.25;13.2
Serbia;9.2;7.4;9;7.8;12.54;10.95;8.06;8.03;6.92;6.4;6.66;6.61;6.37;5.26
Seychelles;2.3;0.6;1.4;1.3;0.93;1.01;0.55;0.43;0.33;0.34;0.33;0.07;0;0
Sierra Leone;1.5;1.4;1.5;1.8;1.87;2.59;0.84;1.47;0.99;0.61;0.57;0.57;0.56;0.56
Singapore;151.8;147.9;226;206.2;110.76;168.67;116.3;109.89;74.46;90.77;60.92;93.46;58.02;76.11
Solomon Islands;0.9;1.2;1.6;2.3;2.04;1.62;0.17;0.26;0.07;0.12;0.23;0.2;0.08;0.08
Somalia;4.3;4.7;44.9;45.3;45.2;17.63;16.46;16.42;15.92;15.45;15.4;15.26;13.04;10.55
South Africa;355;209.2;339.2;400.1;301.55;345.64;288.84;238.58;208.28;144.15;122.16;113.42;111.53;96.78
South Sudan;;;4.1;4.1;;4.64;2.31;3.24;3.36;1.45;1.43;1.4;1.38;1.03
Sri Lanka;15.4;10.3;13.4;14.3;16.33;18.02;13.37;12.89;10.31;12.73;9.04;9.84;9.91;8.57
State of Palestine;;;;;;;;;;;;;31.9;30.8
Sudan;43.6;46.2;50.6;54.7;55;58.91;51.24;52.7;46.79;42.07;36.61;36.63;30.32;10.59
Suriname;2.6;0.7;2.7;1.3;4.01;1.51;1.24;1.49;1.4;0.99;1.15;0.75;0.58;0.28
Switzerland;9.1;9;9.6;1;0.05;0;0;0.08;0;0;0;0;0;0
Syrian Arab Republic;45.3;96.8;147.2;122.8;176.57;83.18;28.03;20.99;46.74;56.93;98.41;70.3;71.05;82.03
Tajikistan;3.8;3.9;2.6;2.8;2.9;3.03;2.28;2.01;1.66;1.5;1.1;0.68;0.33;0.09
Thailand;873;900.5;826.6;1028.5;811.34;1154.64;863.32;864.45;773.5;589.1;404.59;356.86;364.34;355.6
Timor-Leste;0.4;;0.5;0.5;0.15;0.21;0.29;0.31;0.41;0.09;0.3;0.18;0.3;0.17
Togo;4.9;6.2;19.3;20.6;19.14;19.8;18.98;17.88;16.61;15.4;14.96;14.19;14.06;10.88
Tonga;0.1;0.2;0.1;0.1;0.07;0.05;0.04;0.02;0;0;0.01;0;0;0
Trinidad and Tobago;45.4;56.4;38;53.9;34.24;88.5;39.5;26.55;12.64;20.8;12.22;15.65;20.85;14.5
Tunisia;31.3;40.4;44.3;37;33.9;32.69;32.11;34.5;35.57;25.51;28.49;25.91;25.36;23.24
Türkiye;922.9;762.6;609.9;493.03;427.73;318.18;147.02;123.82;17.95;26.95;18.33;10.57;8.54;1.82
Turkmenistan;2.7;8.6;6.9;6.7;5.83;7.73;4.16;2.7;4.23;5.13;2.57;5.77;4.36;3.77
Tuvalu;0;0;0.1;0.1;0.01;0.02;0;0;0.02;0.01;0.01;0;0;0
Uganda;0;0;0;0.3;0.12;0.05;0;0;0;0;0;0.08;0.07;0.06
Ukraine;93.5;75;63.5;86.9;93.29;93.29;59.4;49.06;5.1;16.11;13.3;15.83;11.49;0
United Arab Emirates;426;502.9;530.5;583.6;641.8;692.62;539.4;539.4;473.97;473.97;473.94;475.1;475.34;353.59
United Republic of Tanzania;7.7;8.4;1.4;2;9.97;9.45;1.64;1.3;1.18;1.15;1.15;1.14;1.14;1.03
United States of America;6281.7;5652.1;3396;2431.1;2338.58;1457.1;1640.78;1373.56;583.87;475.45;374.58;434.1;224.23;-110.8
Uruguay;18;19.1;22;24.7;17.62;28.05;15.47;17.8;15.78;16.43;16.69;9.04;14.08;11.15
Uzbekistan;0.1;2.3;1.8;0.9;4.14;2.44;4.58;9.86;7.23;4.68;0.87;2.53;1.58;0
Vanuatu;0.3;0.3;0.1;0.5;0.08;0.06;0.06;0.04;0.02;0;0.01;0;0.03;0
Venezuela (Bolivarian Republic of);260.4;148.5;216.2;197.7;165.07;246.14;134.77;104.63;45.72;26.59;17.1;1.88;0.04;0
Viet Nam;168;173.7;207.5;234.9;223.27;199.93;202.85;210.82;192.7;195.75;197.38;195.6;197.55;142.18
Yemen;122.4;152.9;157.8;158.59;71.88;101.94;116.16;101.85;100.03;92.29;94.39;95.56;97.88;99.11
Zambia;0.7;0.7;0.7;9.2;9.23;8.8;4.99;4.4;3.03;2.75;2.48;2.2;2.2;2.2
Zimbabwe;16.4;8.7;17.1;18.5;19.82;16.2;15.76;13.32;14.16;9.49;10.65;10.07;9.85;6.28
United Kingdom;1087.4;2329.9;890.7;-27.7;-34.08;-38.74;-21.32;-69.43;-53.48;-37.31;-26.7;-40.28;-25;-28.45
Sweden;1087.4;2329.9;890.7;-27.7;-34.08;-38.74;-21.32;-69.43;-53.48;-37.31;-26.7;-40.28;-25;-28.45
Spain;1087.4;2329.9;890.7;-27.7;-34.08;-38.74;-21.32;-69.43;-53.48;-37.31;-26.7;-40.28;-25;-28.45
Slovenia;1087.4;2329.9;890.7;-27.7;-34.08;-38.74;-21.32;-69.43;-53.48;-37.31;-26.7;-40.28;-25;-28.45
Slovak Republic;1087.4;2329.9;890.7;-27.7;-34.08;-38.74;-21.32;-69.43;-53.48;-37.31;-26.7;-40.28;-25;-28.45
Romania;1087.4;2329.9;890.7;-27.7;-34.08;-38.74;-21.32;-69.43;-53.48;-37.31;-26.7;-40.28;-25;-28.45
Portugal;1087.4;2329.9;890.7;-27.7;-34.08;-38.74;-21.32;-69.43;-53.48;-37.31;-26.7;-40.28;-25;-28.45
Poland;1087.4;2329.9;890.7;-27.7;-34.08;-38.74;-21.32;-69.43;-53.48;-37.31;-26.7;-40.28;-25;-28.45
Netherlands;1087.4;2329.9;890.7;-27.7;-34.08;-38.74;-21.32;-69.43;-53.48;-37.31;-26.7;-40.28;-25;-28.45
Malta;1087.4;2329.9;890.7;-27.7;-34.08;-38.74;-21.32;-69.43;-53.48;-37.31;-26.7;-40.28;-25;-28.45
Luxembourg;1087.4;2329.9;890.7;-27.7;-34.08;-38.74;-21.32;-69.43;-53.48;-37.31;-26.7;-40.28;-25;-28.45
Lithuania;1087.4;2329.9;890.7;-27.7;-34.08;-38.74;-21.32;-69.43;-53.48;-37.31;-26.7;-40.28;-25;-28.45
Latvia;1087.4;2329.9;890.7;-27.7;-34.08;-38.74;-21.32;-69.43;-53.48;-37.31;-26.7;-40.28;-25;-28.45
Italy;1087.4;2329.9;890.7;-27.7;-34.08;-38.74;-21.32;-69.43;-53.48;-37.31;-26.7;-40.28;-25;-28.45
Ireland;1087.4;2329.9;890.7;-27.7;-34.08;-38.74;-21.32;-69.43;-53.48;-37.31;-26.7;-40.28;-25;-28.45
Hungary;1087.4;2329.9;890.7;-27.7;-34.08;-38.74;-21.32;-69.43;-53.48;-37.31;-26.7;-40.28;-25;-28.45
Greece;1087.4;2329.9;890.7;-27.7;-34.08;-38.74;-21.32;-69.43;-53.48;-37.31;-26.7;-40.28;-25;-28.45
Germany;1087.4;2329.9;890.7;-27.7;-34.08;-38.74;-21.32;-69.43;-53.48;-37.31;-26.7;-40.28;-25;-28.45
Finland;1087.4;2329.9;890.7;-27.7;-34.08;-38.74;-21.32;-69.43;-53.48;-37.31;-26.7;-40.28;-25;-28.45
France;1087.4;2329.9;890.7;-27.7;-34.08;-38.74;-21.32;-69.43;-53.48;-37.31;-26.7;-40.28;-25;-28.45
Estonia;1087.4;2329.9;890.7;-27.7;-34.08;-38.74;-21.32;-69.43;-53.48;-37.31;-26.7;-40.28;-25;-28.45
Denmark;1087.4;2329.9;890.7;-27.7;-34.08;-38.74;-21.32;-69.43;-53.48;-37.31;-26.7;-40.28;-25;-28.45
Cyprus;1087.4;2329.9;890.7;-27.7;-34.08;-38.74;-21.32;-69.43;-53.48;-37.31;-26.7;-40.28;-25;-28.45
Czechia;1087.4;2329.9;890.7;-27.7;-34.08;-38.74;-21.32;-69.43;-53.48;-37.31;-26.7;-40.28;-25;-28.45
Bulgaria;1087.4;2329.9;890.7;-27.7;-34.08;-38.74;-21.32;-69.43;-53.48;-37.31;-26.7;-40.28;-25;-28.45
Belgium;1087.4;2329.9;890.7;-27.7;-34.08;-38.74;-21.32;-69.43;-53.48;-37.31;-26.7;-40.28;-25;-28.45
Austria;1087.4;2329.9;890.7;-27.7;-34.08;-38.74;-21.32;-69.43;-53.48;-37.31;-26.7;-40.28;-25;-28.45
