"SDG","SDG target","SDG indicator","Indicator Code","Indicator name","Geographical area code","Geographical area name","Year","Value","Time detail","Source","Footnote","Type of data","Units","Age group","Bounds","Frequency","Level/Status","Location","Type of reporting","Sex","SDG 6 Data portal level"
"","","6.3.2","EN_H2O_GRAMBQ","Proportion of groundwater bodies with good ambient water quality (%)","Country","Netherlands","2017","62.5","2013-2015","World Environment Situation Room","","C","Percentage","","","","","","","","6.3.2 Level 1 Proportion of bodies of water with good ambient water quality > Groundwater"
"","","6.3.2","EN_H2O_GRAMBQ","Proportion of groundwater bodies with good ambient water quality (%)","Country","Morocco","2017","76.3","2016-2017","World Environment Situation Room","","C","Percentage","","","","","","","","6.3.2 Level 1 Proportion of bodies of water with good ambient water quality > Groundwater"
"","","6.3.2","EN_H2O_GRAMBQ","Proportion of groundwater bodies with good ambient water quality (%)","Country","Namibia","2017","100","2008-2016","World Environment Situation Room","","C","Percentage","","","","","","","","6.3.2 Level 1 Proportion of bodies of water with good ambient water quality > Groundwater"
"","","6.3.2","EN_H2O_GRAMBQ","Proportion of groundwater bodies with good ambient water quality (%)","Country","Slovakia","2017","49.3","2013-2015","World Environment Situation Room","","C","Percentage","","","","","","","","6.3.2 Level 1 Proportion of bodies of water with good ambient water quality > Groundwater"
"","","6.3.2","EN_H2O_GRAMBQ","Proportion of groundwater bodies with good ambient water quality (%)","Country","Bulgaria","2017","28.1","2013-2015","World Environment Situation Room","","C","Percentage","","","","","","","","6.3.2 Level 1 Proportion of bodies of water with good ambient water quality > Groundwater"
"","","6.3.2","EN_H2O_GRAMBQ","Proportion of groundwater bodies with good ambient water quality (%)","Country","United Arab Emirates","2017","50","2005-2016","World Environment Situation Room","","C","Percentage","","","","","","","","6.3.2 Level 1 Proportion of bodies of water with good ambient water quality > Groundwater"
"","","6.3.2","EN_H2O_GRAMBQ","Proportion of groundwater bodies with good ambient water quality (%)","Country","Brazil","2017","64.9","2010-2016","World Environment Situation Room","","C","Percentage","","","","","","","","6.3.2 Level 1 Proportion of bodies of water with good ambient water quality > Groundwater"
"","","6.3.2","EN_H2O_GRAMBQ","Proportion of groundwater bodies with good ambient water quality (%)","Country","Sweden","2017","97.7","2010-2015","World Environment Situation Room","","C","Percentage","","","","","","","","6.3.2 Level 1 Proportion of bodies of water with good ambient water quality > Groundwater"
"","","6.3.2","EN_H2O_GRAMBQ","Proportion of groundwater bodies with good ambient water quality (%)","Country","Sudan","2017","90","2016-2017","World Environment Situation Room","","C","Percentage","","","","","","","","6.3.2 Level 1 Proportion of bodies of water with good ambient water quality > Groundwater"
"","","6.3.2","EN_H2O_GRAMBQ","Proportion of groundwater bodies with good ambient water quality (%)","Country","Cyprus","2017","12.5","2013-2015","World Environment Situation Room","","C","Percentage","","","","","","","","6.3.2 Level 1 Proportion of bodies of water with good ambient water quality > Groundwater"
"","","6.3.2","EN_H2O_GRAMBQ","Proportion of groundwater bodies with good ambient water quality (%)","Country","South Sudan","2017","100","2010-2012","World Environment Situation Room","","C","Percentage","","","","","","","","6.3.2 Level 1 Proportion of bodies of water with good ambient water quality > Groundwater"
"","","6.3.2","EN_H2O_GRAMBQ","Proportion of groundwater bodies with good ambient water quality (%)","Country","Botswana","2017","7.7","2011-2016","World Environment Situation Room","","C","Percentage","","","","","","","","6.3.2 Level 1 Proportion of bodies of water with good ambient water quality > Groundwater"
"","","6.3.2","EN_H2O_GRAMBQ","Proportion of groundwater bodies with good ambient water quality (%)","Country","Czechia","2017","41","2013-2015","World Environment Situation Room","","C","Percentage","","","","","","","","6.3.2 Level 1 Proportion of bodies of water with good ambient water quality > Groundwater"
"","","6.3.2","EN_H2O_GRAMBQ","Proportion of groundwater bodies with good ambient water quality (%)","Country","North Macedonia","2017","0","2010-2016","World Environment Situation Room","","C","Percentage","","","","","","","","6.3.2 Level 1 Proportion of bodies of water with good ambient water quality > Groundwater"
"","","6.3.2","EN_H2O_GRAMBQ","Proportion of groundwater bodies with good ambient water quality (%)","Country","Slovenia","2017","90.5","2014-2016","World Environment Situation Room","","C","Percentage","","","","","","","","6.3.2 Level 1 Proportion of bodies of water with good ambient water quality > Groundwater"
"","","6.3.2","EN_H2O_GRAMBQ","Proportion of groundwater bodies with good ambient water quality (%)","Country","Bosnia and Herzegovina","2017","16.7","2009-2016","World Environment Situation Room","","C","Percentage","","","","","","","","6.3.2 Level 1 Proportion of bodies of water with good ambient water quality > Groundwater"
"","","6.3.2","EN_H2O_GRAMBQ","Proportion of groundwater bodies with good ambient water quality (%)","Country","United Kingdom of Great Britain and Northern Ireland","2017","56.2","2013-2015","World Environment Situation Room","","C","Percentage","","","","","","","","6.3.2 Level 1 Proportion of bodies of water with good ambient water quality > Groundwater"
"","","6.3.2","EN_H2O_GRAMBQ","Proportion of groundwater bodies with good ambient water quality (%)","Country","Austria","2017","94.6","2013-2015","World Environment Situation Room","","C","Percentage","","","","","","","","6.3.2 Level 1 Proportion of bodies of water with good ambient water quality > Groundwater"
"","","6.3.2","EN_H2O_GRAMBQ","Proportion of groundwater bodies with good ambient water quality (%)","Country","Fiji","2017","100","2014-2016","World Environment Situation Room","","C","Percentage","","","","","","","","6.3.2 Level 1 Proportion of bodies of water with good ambient water quality > Groundwater"
"","","6.3.2","EN_H2O_GRAMBQ","Proportion of groundwater bodies with good ambient water quality (%)","Country","New Zealand","2020","0","2017-2019","World Environment Situation Room","","C","Percentage","","","","","","","","6.3.2 Level 1 Proportion of bodies of water with good ambient water quality > Groundwater"
"","","6.3.2","EN_H2O_GRAMBQ","Proportion of groundwater bodies with good ambient water quality (%)","Country","Netherlands","2020","62.5","2016-2018","World Environment Situation Room","","C","Percentage","","","","","","","","6.3.2 Level 1 Proportion of bodies of water with good ambient water quality > Groundwater"
"","","6.3.2","EN_H2O_GRAMBQ","Proportion of groundwater bodies with good ambient water quality (%)","Country","Tunisia","2020","86","2017-2019","World Environment Situation Room","","C","Percentage","","","","","","","","6.3.2 Level 1 Proportion of bodies of water with good ambient water quality > Groundwater"
"","","6.3.2","EN_H2O_GRAMBQ","Proportion of groundwater bodies with good ambient water quality (%)","Country","United Kingdom of Great Britain and Northern Ireland","2020","57.8","2016-2018","World Environment Situation Room","","C","Percentage","","","","","","","","6.3.2 Level 1 Proportion of bodies of water with good ambient water quality > Groundwater"
