Country;2015;2016;2017;2018;2019;2020
Afghanistan;21.2;21.2;21.2;21.2;21.2;15.3
Albania;5.4;5.4;5.4;5.4;5.4;3.9
Andorra;0.7;0.7;0.7;0.7;0.7;0
Algeria;55.91;55.91;55.91;55.91;55.91;40.38
Angola;14.4;14.4;14.4;14.4;14.4;10.4
Antigua and Barbuda;0.3;0.3;0.3;0.3;0.3;0.2
Argentina;360.6;360.6;360.6;360.6;360.6;260.5
Armenia;6.3;6.3;6.3;6.3;6.3;4.6
Australia;54.9;54.9;54.9;54.9;54.9;2.7
Azerbaijan;1.5;1.5;1.5;1.5;1.5;0.1
Bahamas;4.3;4.3;4.3;4.3;4.3;3.1
Bahrain;46.7;46.7;46.7;46.7;46.7;33.7
Bangladesh;65.3;65.3;65.3;65.3;65.3;47.2
Barbados;3.3;3.3;3.3;3.3;3.3;2.4
Belarus;5;5;5;5;5;0.3
Belize;2.5;2.5;2.5;2.5;2.5;1.8
Benin;21.4;21.4;21.4;21.4;21.4;15.5
Bhutan;0.3;0.3;0.3;0.3;0.3;0.2
Bolivia;5.5;5.5;5.5;5.5;5.5;4
Bosnia and Herzegovina;4.2;4.2;4.2;4.2;4.2;3.1
Botswana;9.9;9.9;9.9;9.9;9.9;7.2
Brazil;1194.6;1194.6;1194.6;1194.6;1194.6;862.7
Brunei Darussalam;5.5;5.5;5.5;5.5;5.5;4
Burkina Faso;26;26;26;26;26;18.8
Burundi;6.5;6.5;6.5;6.5;6.5;4.7
Cabo Verde;1;1;1;1;1;0.7
Cambodia;13.5;13.5;13.5;13.5;13.5;9.8
Canada;89.2;89.2;89.2;89.2;89.2;4.5
Cameroon;79.9;79.9;79.9;79.9;79.9;57.7
Central African Republic;10.8;10.8;10.8;10.8;10.8;7.8
Chad;14.5;14.5;14.5;14.5;14.5;10.5
Chile;78.8;78.8;78.8;78.8;78.8;56.9
China;17342.1;17342.1;17342.1;17342.1;17342.1;12524.9
Colombia;203;203;203;203;203;146.6
Comoros;0.1;0.1;0.1;0.1;0.1;0.1
Congo;9.13;9.13;9.13;9.13;9.13;6.59
Cook Islands;0.1;0.1;0.1;0.1;0.1;0.1
Costa Rica;12.7;12.7;12.7;12.7;12.7;9.2
Cote d'Ivoire;57.4;57.4;57.4;57.4;57.4;41.5
Cuba;15.2;15.2;15.2;15.2;15.2;11
Democratic People's Republic of Korea;70.2;70.2;70.2;70.2;70.2;50.7
Democratic Republic of the Congo;59.59;59.59;59.59;59.59;59.59;43.04
Djibouti;0.6;0.6;0.6;0.6;0.6;0.5
Dominica;0.4;0.4;0.4;0.4;0.4;0.3
Dominican Republic;46.1;46.1;46.1;46.1;46.1;33.3
Ecuador;21.14;21.14;21.14;21.14;21.14;15.27
Egypt;347.7;347.7;347.7;347.7;347.7;251.1
El Salvador;10.5;10.5;10.5;10.5;10.5;7.6
Equatorial Guinea;6.68;6.68;6.68;6.68;6.68;4.1
Eritrea;0.98;0.98;0.98;0.98;0.98;0.71
Eswatini;1.56;1.56;1.56;1.56;1.56;1.12
Ethiopia;5;5;5;5;5;3.6
Fiji;5.16;5.16;5.16;5.16;5.16;3.72
Gabon;27.2;27.2;27.2;27.2;27.2;19.6
Gambia;1.4;1.4;1.4;1.4;1.4;1
Georgia;4.8;4.8;4.8;4.8;4.8;3.4
Ghana;51.6;51.6;51.6;51.6;51.6;37.2
Grenada;0.7;0.7;0.7;0.7;0.7;0.5
Guatemala;7.5;7.5;7.5;7.5;7.5;5.4
Guinea;20.3;20.3;20.3;20.3;20.3;14.7
Gunea Bissau;2.55;2.55;2.55;2.55;2.55;1.84
Guyana;1.6;1.6;1.6;1.6;1.6;1.2
Haiti;3.27;3.27;3.27;3.27;3.27;2.36
Honduras;17.9;17.9;17.9;17.9;17.9;12.9
India;1447.4;1447.4;1447.4;1447.4;1447.4;1045.3
Indonesia;363.5;363.5;363.5;363.5;363.5;262.5
Iran;342.5;342.5;342.5;342.5;342.5;247.3
Iraq;97.6;97.6;97.6;97.6;97.6;70.5
Israel;32.9;32.9;32.9;32.9;32.9;1.6
Jamaica;14.7;14.7;14.7;14.7;14.7;10.6
Japan;555.5;555.5;555.5;555.5;555.5;27.8
Jordan;74.7;74.7;74.7;74.7;74.7;54
Kazakhstan;4;4;4;4;4;0.2
Kenya;47;47;47;47;47;33.9
Kiribati;0.1;0.1;0.1;0.1;0.1;0.1
Kuwait;376.7;376.7;376.7;376.7;376.7;272.1
Kyrgyzstan;3.7;3.7;3.7;3.7;3.7;2.7
Laos;2.1;2.1;2.1;2.1;2.1;1.5
Lebanon;66.2;66.2;66.2;66.2;66.2;47.8
Lesotho;4.8;4.8;4.8;4.8;4.8;3.4
Liberia;3.2;3.2;3.2;3.2;3.2;2.3
Libya;106.54;106.54;106.54;106.54;106.54;76.95
Madagascar;22.4;22.4;22.4;22.4;22.4;16.2
Malawi;9.7;9.7;9.7;9.7;9.7;7
Malaysia;464.2;464.2;464.2;464.2;464.2;335.3
Maldives;4.1;4.1;4.1;4.1;4.1;3
Mali;13.5;13.5;13.5;13.5;13.5;9.8
Marshall Islands;0.2;0.2;0.2;0.2;0.2;0.1
Mauritania;18.5;18.5;18.5;18.5;18.5;13.3
